City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,kemin,42.7846,75.6892,19.31,32,31,3.7,KG,1696235548
234,bechar,31.6167,-2.2167,23.18,28,0,0.0,DZ,1696235417
235,urengoy,65.9667,78.3667,5.62,99,100,5.36,RU,1696235481
236,touros,-5.1989,-35.4608,25.56,72,100,5.35,BR,1696235548
237,namibe,-15.1961,12.1522,23.59,58,1,1.84,AO,1696235548
238,pagar alam,-4.0167,103.2667,29.57,46,100,0.85,ID,1696235549
239,tiksi,71.6872,128.8694,-5.42,79,22,1.62,RU,1696235549
240,christchurch,-43.5333,172.6333,11.11,55,75,15.43,NZ,1696235230
241,nong phai,15.9903,101.0618,29.92,78,82,2.21,TH,1696235549
242,kyaikkami,16.08,97.5675,26.96,84,98,4.63,MM,1696235549
243,montevideo,-34.8335,-56.1674,4.84,100,0,0.0,UY,1696235515
244,namtsy,62.7161,129.6658,7.81,84,100,2.05,RU,1696235549
245,urussu,54.5981,53.4631,17.33,46,100,6.4,RU,1696235550
246,luanda,-8.8368,13.2343,25.43,73,61,1.59,AO,1696235550
247,olevano sul tusciano,40.6572,15.0231,24.15,54,0,2.24,IT,1696235550
248,st. john's,47.5649,-52.7093,12.76,95,100,4.12,CA,1696235550
249,leu,44.1833,24.0,21.38,45,0,7.2,RO,1696235550
250,horki,54.2861,30.9842,14.12,56,1,6.32,BY,1696235550
251,strathalbyn,-35.2667,138.9,29.59,34,2,1.51,AU,1696235550
252,cidade velha,14.9167,-23.6167,24.26,94,20,2.57,CV,1696235550
253,flying fish cove,-10.4217,105.6791,26.82,73,75,5.66,CX,1696235551
254,rio grande,-32.035,-52.0986,11.78,78,37,3.06,BR,1696235551
255,gostyn,51.8825,17.0123,20.37,81,98,2.68,PL,1696235551
256,nouadhibou,20.931,-17.0347,24.99,53,0,5.66,MR,1696235551
257,west island,-12.1568,96.8225,26.99,65,40,9.77,CC,1696235551
258,nizhnyaya salda,58.0776,60.7202,13.84,63,92,4.85,RU,1696235551
259,fortuna,40.5982,-124.1573,9.99,94,0,2.06,US,1696235551
260,tamanrasset,22.785,5.5228,26.95,32,0,4.12,DZ,1696235551
261,huarmey,-10.0681,-78.1522,18.21,91,54,4.11,PE,1696235552
262,beau vallon,-20.4189,57.6953,28.13,61,20,6.69,MU,1696235552
263,amarante do maranhao,-5.5667,-46.7422,22.71,74,83,2.4,BR,1696235552
264,turabah,21.2141,41.6331,35.55,8,0,6.64,SA,1696235552
265,wenzhou,27.9994,120.6668,25.4,62,36,3.28,CN,1696235552
266,embarcacion,-23.209,-64.096,15.68,73,5,1.17,AR,1696235552
267,tralee,52.2704,-9.7026,11.14,93,20,1.03,IE,1696235552
268,gamboma,-1.8764,15.8644,33.46,51,15,0.76,CG,1696235552
269,san felice circeo,41.2372,13.0942,26.29,54,2,1.5,IT,1696235553
270,molina,-35.1167,-71.2833,10.85,93,100,1.03,CL,1696235553
271,beyneu,45.3167,55.2,23.96,28,14,5.95,KZ,1696235553
